Time_s,Alive_Nodes,Total_Energy_J,Generated_Packets,Delivered_Packets,Dropped_Packets,Avg_Latency_s
0,450,1350.0,0,0,0,0.0
10.0,450,1350.0,450,0,0,0.0
20.0,450,1345.4344,900,450,0,0.01549
30.0,450,1340.8396,1350,900,0,0.01549
40.0,450,1336.1872,1800,1350,0,0.01549
50.0,450,1331.6291,2250,1800,0,0.01549
60.0,450,1327.0276,2700,2250,0,0.01549
70.0,450,1322.4318,3150,2700,0,0.01549
80.0,450,1317.8545,3600,3150,0,0.01549
90.0,450,1313.2181,4050,3600,0,0.01549
100.0,450,1308.5646,4500,4050,0,0.01549
110.0,450,1303.9621,4950,4500,0,0.01549
120.0,450,1299.3421,5400,4950,0,0.01549
130.0,450,1294.7199,5850,5400,0,0.01549
140.0,450,1290.1092,6300,5850,0,0.01549
150.0,450,1285.5212,6750,6300,0,0.01549
160.0,450,1280.7739,7200,6750,0,0.01552
170.0,450,1275.815,7650,7200,0,0.01558
180.0,450,1270.8615,8100,7650,0,0.01564
190.0,450,1265.8805,8550,8100,0,0.01569
200.0,450,1261.0012,9000,8550,0,0.01573
210.0,450,1256.1411,9450,9000,0,0.01578
220.0,450,1251.2545,9900,9450,0,0.01582
230.0,450,1246.2148,10350,9900,0,0.01587
240.0,450,1241.2538,10800,10350,0,0.01592
250.0,450,1235.9606,11250,10800,0,0.016
260.0,450,1230.6166,11700,11250,0,0.01608
270.0,450,1225.2316,12150,11700,0,0.01616
280.0,450,1219.851,12600,12150,0,0.01623
290.0,450,1214.5251,13050,12600,0,0.01629
300.0,450,1209.2265,13500,13050,0,0.01636
310.0,450,1203.8829,13950,13500,0,0.01643
320.0,450,1198.4879,14400,13950,0,0.0165
330.0,450,1193.1436,14850,14400,0,0.01656
340.0,450,1187.7783,15300,14850,0,0.01662
350.0,450,1182.5866,15750,15300,0,0.0167
360.0,450,1177.2766,16200,15750,0,0.01677
370.0,450,1171.9907,16650,16200,0,0.01684
380.0,450,1166.7658,17100,16650,0,0.0169
390.0,450,1161.5585,17550,17100,0,0.01696
400.0,450,1156.4449,18000,17550,0,0.01702
